Name,Date,Prev_close,Close,Per_diff
PEL,03-01-2022 00:00,2643.9,2391.55,-9.544612126
PEL,01-02-2022 00:00,2391.55,2422.4,1.289958395
PENIND,01-01-2020 00:00,25.35,26,2.564102564
PENIND,01-02-2020 00:00,26,23.3,-10.38461538
PENIND,02-03-2020 00:00,23.3,14.1,-39.48497854
PENIND,01-04-2020 00:00,14.1,17.6,24.82269504
PENIND,04-05-2020 00:00,17.6,15,-14.77272727
PENIND,01-06-2020 00:00,15,18.9,26
PENIND,01-07-2020 00:00,18.9,15.75,-16.66666667
PENIND,03-08-2020 00:00,15.75,16.85,6.984126984
PENIND,01-09-2020 00:00,16.85,16.05,-4.747774481
PENIND,01-10-2020 00:00,16.05,16.3,1.557632399
PENIND,02-11-2020 00:00,16.3,17.8,9.202453988
PENIND,01-12-2020 00:00,17.8,22.9,28.65168539
PENIND,01-01-2021 00:00,22.9,20.35,-11.13537118
PENIND,01-02-2021 00:00,20.35,20.6,1.228501229
PENIND,01-03-2021 00:00,20.6,16.3,-20.87378641
PENIND,01-04-2021 00:00,16.3,18,10.42944785
PENIND,03-05-2021 00:00,18,25.45,41.38888889
PENIND,01-06-2021 00:00,25.45,26.65,4.715127701
PENIND,01-07-2021 00:00,26.65,40.95,53.65853659
PENIND,02-08-2021 00:00,40.95,30.85,-24.66422466
PENIND,01-09-2021 00:00,30.85,29.05,-5.834683955
PENIND,01-10-2021 00:00,29.05,27.5,-5.335628227
PENIND,01-11-2021 00:00,27.5,27.25,-0.909090909
PENIND,01-12-2021 00:00,27.25,35.85,31.55963303
PENIND,03-01-2022 00:00,35.85,39.45,10.041841
PENIND,01-02-2022 00:00,39.45,40.7,3.168567807
PASUPTAC,12-10-2021 00:00,36.65,31.35,-14.46111869
PASUPTAC,01-11-2021 00:00,31.35,28.9,-7.814992026
PASUPTAC,01-12-2021 00:00,28.9,46.95,62.4567474
PASUPTAC,03-01-2022 00:00,46.95,46.2,-1.597444089
PASUPTAC,01-02-2022 00:00,46.2,43.2,-6.493506494
OSWALAGRO,01-01-2020 00:00,4.95,7.25,46.46464646
OSWALAGRO,01-02-2020 00:00,7.25,5.8,-20
OSWALAGRO,02-03-2020 00:00,5.8,4,-31.03448276
OSWALAGRO,01-04-2020 00:00,4,5.8,45
OSWALAGRO,04-05-2020 00:00,5.8,5.75,-0.862068966
OSWALAGRO,01-06-2020 00:00,5.75,13.95,142.6086957
OSWALAGRO,01-07-2020 00:00,13.95,8.7,-37.6344086
OSWALAGRO,03-08-2020 00:00,8.7,8.35,-4.022988506
OSWALAGRO,01-09-2020 00:00,8.35,9.6,14.97005988
OSWALAGRO,01-10-2020 00:00,9.6,8.5,-11.45833333
OSWALAGRO,02-11-2020 00:00,8.5,9.35,10
OSWALAGRO,01-12-2020 00:00,9.35,10.35,10.69518717
OSWALAGRO,01-01-2021 00:00,10.35,11,6.280193237
OSWALAGRO,01-02-2021 00:00,11,10.9,-0.909090909
OSWALAGRO,01-03-2021 00:00,10.9,10.2,-6.422018349
OSWALAGRO,01-04-2021 00:00,10.2,9.55,-6.37254902
OSWALAGRO,03-05-2021 00:00,9.55,11.7,22.51308901
OSWALAGRO,01-06-2021 00:00,11.7,14.6,24.78632479
OSWALAGRO,01-07-2021 00:00,14.6,16.35,11.98630137
OSWALAGRO,02-08-2021 00:00,16.35,14.9,-8.868501529
OSWALAGRO,01-09-2021 00:00,14.9,17.15,15.10067114
OSWALAGRO,01-10-2021 00:00,17.15,15.95,-6.997084548
OSWALAGRO,01-11-2021 00:00,15.95,27.65,73.35423197
OSWALAGRO,01-12-2021 00:00,27.65,39.55,43.03797468
OSWALAGRO,03-01-2022 00:00,39.55,32.3,-18.3312263
OSWALAGRO,01-02-2022 00:00,32.3,32,-0.92879257
PAGEIND,01-01-2020 00:00,23393.1,24437.75,4.465633029
PAGEIND,01-02-2020 00:00,24437.75,22146.15,-9.377295373
PAGEIND,02-03-2020 00:00,22146.15,16963.5,-23.40203602
PAGEIND,01-04-2020 00:00,16963.5,18194.35,7.255872904
PAGEIND,04-05-2020 00:00,18194.35,18866.4,3.693729097
PAGEIND,01-06-2020 00:00,18866.4,19914.6,5.555908917
PAGEIND,01-07-2020 00:00,19914.6,19818.25,-0.483815894
PAGEIND,03-08-2020 00:00,19818.25,18987.7,-4.190834206
PAGEIND,01-09-2020 00:00,18987.7,21335.95,12.36721667
PAGEIND,01-10-2020 00:00,21335.95,20071.9,-5.924507697
PAGEIND,02-11-2020 00:00,20071.9,22754.95,13.36719493
PAGEIND,01-12-2020 00:00,22754.95,27610.25,21.33733539
PAGEIND,01-01-2021 00:00,27610.25,27176.15,-1.572242193
PAGEIND,01-02-2021 00:00,27176.15,28084.05,3.340796986
PAGEIND,01-03-2021 00:00,28084.05,30317.45,7.9525567
PAGEIND,01-04-2021 00:00,30317.45,29660.6,-2.166574036
PAGEIND,03-05-2021 00:00,29660.6,30665.5,3.387996197
PAGEIND,01-06-2021 00:00,30665.5,29522,-3.72894621
PAGEIND,01-07-2021 00:00,29522,31502.1,6.707201409
PAGEIND,02-08-2021 00:00,31502.1,31499.1,-0.009523175
PAGEIND,01-09-2021 00:00,31499.1,31704.9,0.653352001
PAGEIND,01-10-2021 00:00,31704.9,37636.05,18.70736069
PAGEIND,01-11-2021 00:00,37636.05,38390.9,2.00565681
PAGEIND,01-12-2021 00:00,38390.9,40421.55,5.28940452
